,title,subtitle,link
54,TIME TO GO,,https://www.thesun.co.uk/sport/20149434/diogo-dalot-barcelona-manchester-united-transfer-news/
55,KOP THAT,Mbappe's uncle 'tells PSG star to make Liverpool transfer after YEARS of talks',https://www.thesun.co.uk/sport/20168196/liverpool-transfer-kylian-mbappe-psg-uncle/
56,,,https://www.thesun.co.uk/sport/20166661/chelsea-jude-bellingham-todd-boehly-borussia-dortmund/
57,IN A HARRY,Bayern list Kane as 'serious contender' for transfer if no Spurs deal is signed,https://www.thesun.co.uk/sport/20160432/bayern-munich-transfer-harry-kane-tottenham-contract/
58,,,https://www.thesun.co.uk/sport/20157538/psg-chelsea-newcastle-transfer-neymar-premier-league/
59,FOOTBALL LATEST,"Zaha 'keen on Liverpool switch', Chelsea 'could launch shock Saka bid'",https://www.thesun.co.uk/sport/19994688/football-news-live-liverpool-zaha-chelsea-saka-kante-injury/
60,,,https://www.thesun.co.uk/sport/19994861/man-utd-news-live-cristiano-ronaldo-ten-hag-tottenham-win/
61,,,https://www.thesun.co.uk/sport/19993834/arsenal-news-live-psv-martinelli-mykhaylo-mudryk/
62,SURF'S UP,,https://www.thesun.co.uk/sport/20131589/world-cup-surfing-jiu-jitsu/
63,CROCKED FOR QATAR,,https://www.thesun.co.uk/sport/20147654/world-cup-injury-xi-eleven-james-pogba-jota/
64,YOU LITTLE DEVILS,,https://www.thesun.co.uk/sport/20159740/belgium-allowed-one-night-wags-world-cup/
65,DRINK… IT'S ALL OVER,England's Wags given strict rules to follow to avoid World Cup crisis,https://www.thesun.co.uk/sport/20126739/fa-warning-list-england-wags-world-cup-qatar/
66,,,https://www.thesun.co.uk/sport/20165648/kyle-walker-world-cup-england-chance-man-city/
67,E-ZE DOES IT,Crystal Palace star Eze to be named in Southgate's initial World Cup squad,https://www.thesun.co.uk/sport/20163573/crystal-palace-eze-included-southgate-england-world-cup-squad/
68,,,https://www.thesun.co.uk/sport/20161006/england-line-up-world-cup-tim-sherwood/
69,KARREN BRADY,Violence on refs is blight on our game and physical assaults numbers alarming,https://www.thesun.co.uk/sport/20114634/violence-referees-assaults-karren-brady/
70,,,https://www.thesun.co.uk/sport/20113613/newcastle-transfer-man-utd-deeney/
71,,,https://www.thesun.co.uk/sport/20066371/arsenal-mikel-arteta-premier-league-exciting-team/
72,BREAST CELE EVER,,https://www.thesun.co.uk/sport/football/20155242/mexico-fan-breast-celebration-tigres/
73,TOOT SWEET,BBC Sport presenter Jones reveals her boobs are so big they honk her car horn,https://www.thesun.co.uk/sport/20144047/bbc-sport-presenter-emma-louise-jones-car-horn/
74,FROM PILAR TO BEDPOST,,https://www.thesun.co.uk/sport/20142163/pilar-rubio-sex-psg-husband-sergio-ramos-every-day/
75,MIDO IN THE MIDDLE,,https://www.thesun.co.uk/sport/19295830/middlesbrough-cult-hero-unrecognisable-yacht/
76,BETTER BELIEB IT,Mount throwback pics as a kid have fans laughing at his 'Bieber hair',https://www.thesun.co.uk/sport/20129725/mason-mount-chelsea-justin-bieber/
77,,,https://www.thesun.co.uk/sport/20134456/chelsea-champions-league-blonde-hair/
78,UP FOR THE CUPS,England ace Jack Grealish shares pics of bizarre 'hot cupping' treatment,https://www.thesun.co.uk/sport/20118647/england-ace-jack-grealish-hot-cupping-treatment-football/
79,,,https://www.thesun.co.uk/sport/20128644/gabby-howell-night-out-sutton-dartford/
80,BEST IN CLASS,Trevoh Chalobah & Bukayo Saka feature in best Dream Team of Game Week 9,https://www.thesun.co.uk/sport/football/dream-team/20107779/trevoh-chalobah-bukayo-saka-game-week-fantasy-football/
81,,,https://www.thesun.co.uk/sport/football/dream-team/19681660/have-you-got-what-it-takes-to-win-dream-teams-25k-survivor-game/
82,,,https://www.thesun.co.uk/sport/football/dream-team/20168255/kieran-trippier-newcastle-defenders-fantasy-football-points-hero/
