,title,subtitle,link
60,BACKLASH,,https://www.thesun.co.uk/sport/20180368/bein-sports-world-cup-punditry-team-terry-wenger-neville/
61,ALL GONE PETE TONG,,https://www.thesun.co.uk/sport/20191733/england-world-cup-base-rave-calvin-harris-fatboy-slim/
62,YOU LITTLE DEVILS,,https://www.thesun.co.uk/sport/20159740/belgium-allowed-one-night-wags-world-cup/
63,DOWN BUT NOT OUT,Chelsea star Reece James aims to join World Cup squad despite knee injury,https://www.thesun.co.uk/sport/20190697/reece-james-world-cup-chelsea-england/
64,,,https://www.thesun.co.uk/sport/20188811/calls-kick-iran-out-world-cup-help-russian-troops/
65,BALE OUT,Bale's World Cup in doubt as Wales star misses LAFC semi-final with leg injury,https://www.thesun.co.uk/sport/20178932/gareth-bale-world-cup-doubt-wales-lafc-injury/
66,,,https://www.thesun.co.uk/sport/20131589/world-cup-surfing-jiu-jitsu/
67,KARREN BRADY,"Beware of my old pal Cisse, his Senegal team can go AT LEAST as far as England",https://www.thesun.co.uk/sport/20188262/aliou-cisse-senegal-team-england-world-cup/
68,,,https://www.thesun.co.uk/sport/20188437/cristiano-ronaldo-man-utd-transfer-future-troy-deeney/
69,,,https://www.thesun.co.uk/sport/20177817/cristiano-ronaldo-man-utd-nostalgia-diva/
70,CHLO MORE,,https://www.thesun.co.uk/sport/20180178/mason-mount-split-girlfriend-dating-again-chelsea-england/
71,BRIDGE TOO FAR,Ebanie Bridges tries to inspire Leeds against Leicester with sexy lingerie,https://www.thesun.co.uk/sport/football/20180892/ebanie-bridge-leeds/
72,HOLLIE GOOD SHOW,,https://www.thesun.co.uk/sport/20163075/hollie-shearer-shares-busty-backseat-selfie/
73,BEE STING,,https://www.thesun.co.uk/sport/20181202/brighton-honorary-president-10-game-ban/
74,MOVING WAN,Wanda Nara seen kissing 22-year-old rapper as Icardi calls her ‘laughing stock’,https://www.thesun.co.uk/sport/20169710/wanda-nara-kissing-rapper-mauro-icardi-wife/
75,,,https://www.thesun.co.uk/sport/20129725/mason-mount-chelsea-justin-bieber/
76,BLONDE BLUE,Chelsea CL winner unrecognisable with dyed blonde hair and bulked up physique,https://www.thesun.co.uk/sport/20134456/chelsea-champions-league-blonde-hair/
77,,,https://www.thesun.co.uk/sport/20118647/england-ace-jack-grealish-hot-cupping-treatment-football/
78,BEST IN CLASS,Trevoh Chalobah & Bukayo Saka feature in best Dream Team of Game Week 9,https://www.thesun.co.uk/sport/football/dream-team/20107779/trevoh-chalobah-bukayo-saka-game-week-fantasy-football/
79,,,https://www.thesun.co.uk/sport/football/dream-team/19681660/have-you-got-what-it-takes-to-win-dream-teams-25k-survivor-game/
80,,,https://www.thesun.co.uk/sport/football/dream-team/20168255/kieran-trippier-newcastle-defenders-fantasy-football-points-hero/
